臺灣 Taiwan,#genre#
Entertain,https://smart.ykq001.cloud/Smart.php?id=Entertain
Hits,https://smart.ykq001.cloud/Smart.php?id=Hits
Warner TV,https://smart.ykq001.cloud/Smart.php?id=WarnerTV
SCM,https://smart.ykq001.cloud/Smart.php?id=Weishimovie
Thrill,https://smart.ykq001.cloud/Smart.php?id=Thrill
Fight Sports,https://smart.ykq001.cloud/Smart.php?id=Fs
Beinsports 2 HD,https://smart.ykq001.cloud/Smart.php?id=Bein2hd
Hits Movie,https://smart.ykq001.cloud/Smart.php?id=Hitsmovie
One,https://smart.ykq001.cloud/Smart.php?id=One_mega
tvN Movie,https://smart.ykq001.cloud/Smart.php?id=Tvnmovie
Celestial Movies HD,https://smart.ykq001.cloud/Smart.php?id=Celestialindo
Rock Actions,https://smart.ykq001.cloud/Smart.php?id=Rockaction
Rock Entertainment,https://smart.ykq001.cloud/Smart.php?id=Rockentertain
香港 Hongkong,#genre#
J2(備用),https://smart.ykq001.cloud/Smart.php?id=j2_hkdavid
J2,https://smart.ykq001.cloud/Smart.php?id=j2_twn
RHK 31,https://smart.ykq001.cloud/Smart.php?id=rhk31_twn
RHK 32,https://smart.ykq001.cloud/Smart.php?id=rhk32_twn
TVB 星河,https://smart.ykq001.cloud/Smart.php?id=tvbxinhe_twn
VIUTV1,https://smart.ykq001.cloud/Smart.php?id=viu1_twn
Viu TV 69,https://smart.ykq001.cloud/Smart.php?id=viutv69_hkdavid
Viu6,https://smart.ykq001.cloud/Smart.php?id=viusix_twn
iNews 新聞台,https://smart.ykq001.cloud/Smart.php?id=inews_twn
無線財經資訊台,https://smart.ykq001.cloud/Smart.php?id=tvbcaijing_twn
珍珠台(備用),https://smart.ykq001.cloud/Smart.php?id=pearl_hkdavid
珍珠台,https://smart.ykq001.cloud/Smart.php?id=pearl_twn
翡翠台(備用),https://smart.ykq001.cloud/Smart.php?id=jade_mike
翡翠台,https://smart.ykq001.cloud/Smart.php?id=jade_twn
